0	1	2
1	2	2
2	3	3
3	4	3
4	5	2
5	6	3
6	7	2
7	8	3
8	9	2
9	10	3
10	11	2
11	12	3
12	13	2
13	14	2
14	15	2
15	16	2
16	17	2
17	18	1
18	19	3
19	20	1
20	21	2
21	22	2
22	23	2
23	24	2
24	25	2
25	26	3
26	27	2
27	28	2
28	29	2
29	0	3
30	31	2
31	32	2
32	33	3
33	34	2
34	35	2
35	36	3
36	37	2
37	38	2
38	7	3
7	6	2
6	39	2
39	40	1
40	41	3
41	42	1
42	43	3
43	44	2
44	45	2
45	21	2
21	46	2
46	47	2
47	48	3
48	49	2
49	50	3
50	51	3
51	52	3
52	53	3
53	54	3
54	55	2
55	56	3
56	57	3
57	58	3
58	59	3
59	60	3
60	61	3
61	62	2
62	63	3
63	64	2
64	65	3
4	66	2
66	67	2
67	68	1
68	69	2
69	70	2
70	71	2
71	25	2
25	72	2
72	73	2
73	74	1
74	75	2
75	22	2
22	76	1
76	77	2
77	19	1
19	78	2
78	79	2
79	80	1
33	81	2
81	82	2
82	83	2
83	84	2
84	85	2
85	86	2
86	7	2
7	87	2
87	88	1
88	89	2
89	41	2
41	69	3
69	90	2
90	91	2
91	72	3
72	23	2
23	92	2
92	93	2
93	45	1
45	94	2
94	95	2
95	96	3
96	97	2
97	11	3
98	3	2
3	99	3
99	100	3
100	101	4
101	91	2
91	102	2
102	72	2
72	103	1
103	104	2
104	105	2
105	106	2
106	107	2
107	108	2
108	21	2
21	109	1
109	19	2
19	110	2
110	111	2
111	112	2
112	113	3
36	114	3
114	9	3
9	115	3
115	116	2
116	43	2
43	117	2
117	118	2
118	92	2
92	74	2
74	106	1
106	119	3
119	120	2
120	121	1
121	122	3
122	123	3
123	124	2
124	125	2
125	126	2
126	127	2
127	128	2
128	129	3
129	56	3
130	131	2
131	132	2
132	66	1
66	133	3
133	134	2
134	90	2
90	91	1
91	102	2
102	135	2
135	92	2
92	136	2
136	137	2
137	138	2
138	139	2
139	16	2
16	140	2
140	113	4
113	141	3
141	142	4
143	144	3
144	145	2
145	146	3
146	147	2
147	148	2
148	149	2
149	150	2
150	11	3
11	151	2
151	152	2
152	153	3
153	43	2
43	42	3
42	154	2
154	155	1
155	156	2
156	24	2
24	157	2
157	158	1
158	159	3
159	160	2
160	161	2
161	162	3
4	66	2
66	68	2
68	155	3
155	163	2
163	117	2
117	164	1
164	92	3
92	75	2
75	165	3
165	166	3
166	167	3
167	48	2
48	168	2
2	169	2
169	170	2
170	171	3
171	172	2
172	70	2
70	155	2
155	41	2
41	42	2
42	43	2
43	95	2
95	173	3
173	174	2
174	14	2
14	175	2
175	176	2
176	177	3
177	178	2
178	179	2
143	144	3
144	145	2
145	146	3
146	147	2
147	148	2
148	149	2
149	150	2
150	11	2
11	180	3
180	181	3
181	182	2
182	87	2
87	183	3
183	132	2
132	4	2
184	185	1
185	85	2
85	37	2
37	186	2
186	187	3
187	188	2
188	189	3
189	190	2
190	191	2
191	192	2
184	7	1
7	6	2
6	193	3
193	68	2
68	100	3
100	171	2
171	194	2
194	195	3
195	196	2
196	197	2
197	198	3
198	159	2
159	119	2
119	166	3
166	199	2
199	47	1
47	200	3
200	201	2
201	202	1
202	94	3
94	203	1
203	43	3
43	204	2
204	205	2
205	206	2
206	182	2
182	207	3
207	184	1
208	209	2
209	210	1
210	211	2
211	1	2
1	212	2
212	213	2
213	214	3
214	195	2
195	25	2
25	103	2
103	215	2
215	74	1
74	107	2
107	216	2
216	46	1
46	200	2
200	80	2
80	217	1
217	218	2
2	169	2
169	170	2
170	214	3
214	219	2
219	220	1
220	221	2
221	102	2
102	92	2
92	164	3
164	44	2
44	203	2
203	222	2
222	223	2
223	13	2
13	224	2
224	225	2
225	226	2
226	227	2
227	228	1
228	229	2
229	230	2
230	231	2
231	232	2
232	233	2
233	234	2
234	235	2
7	87	1
87	236	2
236	237	2
237	117	3
117	164	1
164	238	2
238	239	2
239	240	1
240	241	2
241	199	1
199	242	2
242	167	2
167	243	1
243	244	2
244	245	2
245	246	3
246	247	2
247	248	3
248	249	2
249	54	4
